	LibraryLayout	Platform	Run	R1	R2	Unnamed: 6	Unnamed: 7	Unnamed: 8	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation
PD_121_R7_S05#2	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R7_S05#2_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R7_S05#2_2.fq.gz				True	True	True
PD_121_R8_S05#2	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R8_S05#2_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R8_S05#2_2.fq.gz				True	True	True
PD_121_R9_S05#2	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R9_S05#2_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R9_S05#2_2.fq.gz				True	True	True
PD_122_R10_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R10_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R10_S05#_2.fq.gz				True	True	True
PD_122_R11_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R11_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R11_S05#_2.fq.gz				True	True	True
PD_122_R12_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R12_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R12_S05#_2.fq.gz				True	True	True
PD_122_R13_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R13_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R13_S05#_2.fq.gz				True	True	True
PD_122_R14_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R14_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R14_S05#_2.fq.gz				True	True	True
PD_122_R15_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R15_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R15_S05#_2.fq.gz				True	True	True
PD_122_R16_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R16_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R16_S05#_2.fq.gz				True	True	True
PD_122_R5_S05#2	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R5_S05#2_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R5_S05#2_2.fq.gz				True	True	True
PD_122_R6_S05#2	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R6_S05#2_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R6_S05#2_2.fq.gz				True	True	True
PD_122_R7_S05#2	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R7_S05#2_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R7_S05#2_2.fq.gz				True	True	True
PD_122_R8_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R8_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R8_S05#1_2.fq.gz				True	True	True
PD_122_R9_S05#2	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R9_S05#2_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R9_S05#2_2.fq.gz				True	True	True
PD_123_R10_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R10_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R10_S05#_2.fq.gz				True	True	True
PD_123_R11_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R11_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R11_S05#_2.fq.gz				True	True	True
PD_123_R12_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R12_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R12_S05#_2.fq.gz				True	True	True
PD_123_R13_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R13_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R13_S05#_2.fq.gz				True	True	True
PD_123_R14_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R14_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R14_S05#_2.fq.gz				True	True	True
PD_123_R15_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R15_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R15_S05#_2.fq.gz				True	True	False
PD_123_R16_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R16_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R16_S05#_2.fq.gz				True	True	True
PD_123_R5_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R5_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R5_S05#1_2.fq.gz				True	True	True
PD_123_R6_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R6_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R6_S05#1_2.fq.gz				True	True	True
PD_123_R7_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R7_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R7_S05#1_2.fq.gz				True	True	True
PD_123_R8_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R8_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R8_S05#1_2.fq.gz				True	True	True
PD_123_R9_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R9_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R9_S05#1_2.fq.gz				True	True	True
